epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,539.036,1.14294,4.38506,2.84366,0.99675,0.125,0.12646,0.09528,1.14255,3.01424,2.12507,0.00065,0.00065,0.00065
2,1076.35,0.88363,1.71656,2.48062,0.93294,0.95647,0.9781,0.724,1.06355,2.77883,3.49681,0.00131341,0.00131341,0.00131341
3,1593.86,0.94912,1.05248,2.40696,0.98741,0.98044,0.99402,0.7437,0.96665,1.46192,3.16856,0.00197352,0.00197352,0.00197352
4,2062.92,1.01046,0.8377,2.6717,0.98117,0.97726,0.99294,0.77139,0.91918,1.4744,4.02842,0.00198515,0.00198515,0.00198515
5,2588.46,1.01565,0.78512,2.56737,0.96575,0.95625,0.99152,0.76195,0.96626,0.90982,5.47781,0.0019802,0.0019802,0.0019802
