epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,383.227,0.44578,0.32208,0.8496,0.99963,1,0.995,0.96889,0.34197,0.27798,0.81839,0.00178715,0.00178715,0.00178715
45,391.82,0.41069,0.30152,0.84442,0.99964,1,0.995,0.97362,0.27536,0.22264,0.81186,0.0017822,0.0017822,0.0017822
46,400.363,0.44923,0.30344,0.85122,0.99963,1,0.995,0.92917,0.45328,0.312,0.99051,0.00177725,0.00177725,0.00177725
47,408.936,0.46018,0.32085,0.85777,0.99964,1,0.995,0.96494,0.28424,0.21964,0.81641,0.0017723,0.0017723,0.0017723
48,417.529,0.41447,0.30484,0.84488,0.99955,1,0.995,0.95408,0.30998,0.23218,0.81734,0.00176735,0.00176735,0.00176735
49,426.088,0.38881,0.30415,0.84134,0.99958,1,0.995,0.95199,0.29873,0.21387,0.81751,0.0017624,0.0017624,0.0017624
50,434.704,0.3992,0.29408,0.84448,0.99963,1,0.995,0.95404,0.297,0.20858,0.81348,0.00175745,0.00175745,0.00175745
51,443.281,0.37915,0.28347,0.83826,0.99963,1,0.995,0.97901,0.26432,0.20563,0.80778,0.0017525,0.0017525,0.0017525
52,451.947,0.38883,0.28821,0.83959,0.99964,1,0.995,0.95238,0.32601,0.25688,0.82381,0.00174755,0.00174755,0.00174755
53,460.634,0.39988,0.29475,0.83609,0.99962,1,0.995,0.96597,0.28863,0.21761,0.81222,0.0017426,0.0017426,0.0017426
54,469.245,0.40869,0.29916,0.82977,0.99964,1,0.995,0.94743,0.33154,0.24131,0.81422,0.00173765,0.00173765,0.00173765
55,477.819,0.40625,0.29822,0.84061,0.99966,1,0.995,0.97434,0.29383,0.21897,0.82777,0.0017327,0.0017327,0.0017327
56,486.366,0.36426,0.2752,0.8328,0.99965,1,0.995,0.97819,0.28418,0.22329,0.80333,0.00172775,0.00172775,0.00172775
